Location,Lesson,Type,Index,Chinese,Pinyin,Korean,FileName,Extension,Remark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,04,단어,03,服务,dummy,(단체나 다른 사람의 이익 또는 일을 위해서) 봉사하다. 서비스하다,hotel_lesson_04_word_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,04,단어,04,准时,dummy,정시에. 제때에. 제시간에,hotel_lesson_04_word_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,05,회화,01,您好！请问这儿可以换钱吗?,dummy,안녕하세요? 여기서 환전할 수 있나요?,hotel_lesson_05_conv_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,05,회화,02,可以，但是需要出示证明。,dummy,네，그런데 신분 증명이 필요합니다.,hotel_lesson_05_conv_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,05,회화,03,证明在这儿。我想把美元换成人民币。,dummy,여기 신분증이요. 달러를 인민폐로 바꾸려고 합니다.,hotel_lesson_05_conv_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,05,회화,04,您想换多少？,dummy,얼마나 환전하실 건가요?,hotel_lesson_05_conv_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,05,회화,05,今天的汇率是多少？,dummy,오늘 환율이 어떻게 되나요?,hotel_lesson_05_conv_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,05,회화,06,7.95。,dummy,7.95 입니다.,hotel_lesson_05_conv_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,05,회화,07,那给我换1000美元吧。,dummy,"그럼 여기 1,000달러 환전해 주세요.",hotel_lesson_05_conv_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,05,회화,08,这是您换的人民币，请收好。,dummy,여기 환전한 인민폐입니다. 받아주세요.,hotel_lesson_05_conv_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,05,단어,01,换钱,dummy,환전하다,hotel_lesson_05_word_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,05,단어,02,但是,dummy,"그러나, 하지만",hotel_lesson_05_word_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,05,단어,03,证明,dummy,증명(證明)하다,hotel_lesson_05_word_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,05,단어,04,美元,dummy,"달러 (dolla, 미국의 화폐 단위로 1달러는 100센트임)",hotel_lesson_05_word_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,05,단어,05,换成,dummy,~으로 바꾸다,hotel_lesson_05_word_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,05,단어,06,人民币,dummy,"인민폐(人民幣, 중화인민공화국(中華 人民共和國)의 법정 화폐)",hotel_lesson_05_word_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,05,단어,07,汇率,dummy,환율(換率),hotel_lesson_05_word_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,05,단어,08,收,dummy,"(널려 있거나 흩어져 있는 것을) 거두어들이다, 간직하다",hotel_lesson_05_word_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,06,회화,01,小姐，我要退房。,dummy,아가씨，체크아웃을 하려고 합니다.,hotel_lesson_06_conv_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,06,회화,02,请问您的姓名和房间号码？,dummy,손님 성함과 방 번호 좀 알려주시겠어요?,hotel_lesson_06_conv_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,06,회화,03,206号房间，金唆星。这是房卡。,dummy,1206호 방이고 김준성입니다. 여기 방카드요.,hotel_lesson_06_conv_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,06,회화,04,请稍等一下，服务员在检查您的房间 可以了，一共一千六百块人民币。,dummy,"잠시만 기다려 주세요. 저희 직원이 방을 체크하고 있습니다. 예, 다 됐습니다. 숙박비는 모두 1,600위안입니다.",hotel_lesson_06_conv_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,06,회화,05,可以用信用卡支付吗？,dummy,신용카드로 지불할 수 있나요?,hotel_lesson_06_conv_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,06,회화,06,当然可以。,dummy,물론입니다.,hotel_lesson_06_conv_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,06,회화,07,给您。,dummy,여기 있습니다.,hotel_lesson_06_conv_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,06,회화,08,请您在这里签名。谢谢！欢迎您再次光临我们酒店。,dummy,여기 서명 부탁드립니다. 감사합니다. 다음 번에도 저희 호텔을 방문해 주십시오.,hotel_lesson_06_conv_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,06,회화,09,再见！,dummy,안녕히 계세요!,hotel_lesson_06_conv_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,06,단어,01,小姐,dummy,아가씨,hotel_lesson_06_word_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,06,단어,02,退房,dummy,"방을 반환하다, 체크아웃하다",hotel_lesson_06_word_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,06,단어,03,检查,dummy,"점검(點檢)하다, 검사(檢査)하다",hotel_lesson_06_word_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,06,단어,04,一共,dummy,"모두, 전부",hotel_lesson_06_word_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,06,단어,05,信用卡,dummy,신용카드,hotel_lesson_06_word_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,06,단어,06,支付,dummy,(돈을) 지불하다,hotel_lesson_06_word_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,06,단어,07,当效,dummy,"당연히, 물론",hotel_lesson_06_word_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,06,단어,08,签名,dummy,(문서 등에) 서명(署名)하다，사인하다,hotel_lesson_06_word_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,06,단어,09,再次,dummy,두 번째. 재차,hotel_lesson_06_word_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,07,회화,01,您好！ 一共是1200块钱，这是您的账单。,dummy,"안녕하세요. 모두 1,200위안입니다. 여기 영수증입니다",hotel_lesson_07_conv_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,07,회화,02,对不起，是不是算错了，我有些看不明白。,dummy,죄송하지만 계산이 잘못된 거 같은데요. 잘 이해가 안 돼요.,hotel_lesson_07_conv_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,07,회화,03,请问您对哪项费用有疑问？,dummy,어떤 항목의 비용이 이해가 안 되시나요?,hotel_lesson_07_conv_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,07,회화,04,这项是什么费用？,dummy,이 항목의 비용은 무엇인가요?,hotel_lesson_07_conv_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,07,회화,05,这项是我们的服务费，按5%收取。,dummy,"예，이 항목은 서비스차지고, 5% 부과됩니다",hotel_lesson_07_conv_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,07,회화,06,哦，我忘记服务费了，那就对了,dummy,아 제가 서비스차지를 잊었네요. 그럼 맞아요.,hotel_lesson_07_conv_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,07,단어,01,账单,dummy,"계산서, 명세서",hotel_lesson_07_word_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,07,단어,02,算,dummy,"(숫자나 수량 등을) 계산하다, 셈하다",hotel_lesson_07_word_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,07,단어,03,错,dummy,"틀리다, 부정확하다, 맞지 않다. 잘못, 과실. 흠",hotel_lesson_07_word_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,07,단어,04,明白,dummy,"(내용이나 뜻 등이) 분명하다, 명백하다, 확실하다",hotel_lesson_07_word_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,07,단어,05,费用,dummy,비용 (費用),hotel_lesson_07_word_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel,07,단어,06,疑问,dummy,의문,hotel_lesson_07_word_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
